r	B	C	D	E
0	0	0	0	0
0.01	0	0	0	0
0.02	0	0	0	0
0.03	0	0	0	0
0.04	0	0	0	0
0.05	0	0	0	0
0.06	0	0	0	0
0.07	0	0	0	0
0.08	0	0	0	0
0.09	0	0	0	0
0.1	0	0	0	0
0.11	0	0	0	0
0.12	0	0	0	0
0.13	0	0	0	0
0.14	0	0	0	0
0.15	0	0	0	0
0.16	0	0	0	0
0.17	0	0	0	0
0.18	0	0	0	0
0.19	0	0	0	0
0.2	0	0	0	0
0.21	0	0	0	0
0.22	0	0	0	0
0.23	0	0	0	0
0.24	0	0	0	0.001
0.25	0	0	0	0.002
0.26	0	0	0	0.005
0.27	0	0	0	0.021
0.28	0	0	0	0.085
0.29	0	0	0	0.238
0.3	0	0	0	0.43
0.31	0	0	0.007	0.638
0.32	0.001	0	0.051	0.781
0.33	0.008	0.002	0.172	0.894
0.34	0.059	0.014	0.327	0.96
0.35	0.254	0.086	0.555	1.032
0.36	0.674	0.251	0.73	1.1
0.37	1.168	0.584	0.821	1.189
0.38	1.767	1.012	0.91	1.285
0.39	2.291	1.411	0.921	1.365
0.4	2.519	1.696	0.949	1.394
0.41	2.66	1.907	0.93	1.417
0.42	2.552	1.931	0.959	1.395
0.43	2.427	1.904	0.943	1.361
0.44	2.21	1.836	0.948	1.331
0.45	2.001	1.747	0.981	1.314
0.46	1.798	1.676	0.993	1.295
0.47	1.642	1.583	1.047	1.297
0.48	1.541	1.566	1.092	1.292
0.49	1.432	1.57	1.165	1.286
0.5	1.379	1.573	1.243	1.275
0.51	1.309	1.59	1.291	1.266
0.52	1.245	1.57	1.307	1.244
0.53	1.181	1.486	1.317	1.219
0.54	1.1	1.405	1.276	1.187
0.55	1.052	1.277	1.263	1.159
0.56	0.976	1.17	1.262	1.129
0.57	0.94	1.066	1.254	1.105
0.58	0.886	0.985	1.23	1.077
0.59	0.836	0.932	1.214	1.048
0.6	0.796	0.851	1.177	1.019
0.61	0.768	0.798	1.179	0.99
0.62	0.75	0.781	1.139	0.962
0.63	0.725	0.739	1.098	0.934
0.64	0.717	0.731	1.075	0.916
0.65	0.719	0.726	1.053	0.904
0.66	0.715	0.723	1.004	0.891
0.67	0.73	0.73	0.964	0.878
0.68	0.746	0.746	0.938	0.877
0.69	0.758	0.765	0.923	0.875
0.7	0.783	0.778	0.906	0.873
0.71	0.797	0.804	0.905	0.88
0.72	0.817	0.82	0.901	0.882
0.73	0.837	0.842	0.907	0.891
0.74	0.843	0.856	0.903	0.894
0.75	0.873	0.886	0.903	0.903
0.76	0.896	0.9	0.901	0.911
0.77	0.913	0.918	0.925	0.919
0.78	0.939	0.928	0.93	0.927
0.79	0.961	0.952	0.938	0.939
0.8	0.964	0.966	0.932	0.943
0.81	0.988	0.98	0.949	0.953
0.82	0.99	0.996	0.953	0.958
0.83	1.002	0.999	0.963	0.965
0.84	1.005	1.013	0.965	0.968
0.85	1.012	1.004	0.964	0.972
0.86	0.999	1.017	0.975	0.975
0.87	1.009	1.01	0.972	0.981
0.88	0.997	1.018	0.97	0.98
0.89	1.004	1.022	0.966	0.979
0.9	0.99	1.012	0.961	0.981
0.91	1	1.013	0.969	0.981
0.92	0.995	1.002	0.969	0.978
0.93	0.999	0.998	0.963	0.978
0.94	0.983	0.981	0.956	0.972
0.95	0.972	0.987	0.971	0.975
0.96	0.964	0.975	0.953	0.972
0.97	0.959	0.962	0.956	0.97
0.98	0.954	0.965	0.957	0.967
0.99	0.952	0.954	0.959	0.963
1	0.943	0.939	0.952	0.96
1.01	0.946	0.941	0.961	0.96
1.02	0.928	0.938	0.961	0.956
1.03	0.94	0.934	0.957	0.957
1.04	0.936	0.928	0.957	0.955
1.05	0.932	0.929	0.95	0.952
1.06	0.931	0.932	0.951	0.955
1.07	0.92	0.934	0.952	0.949
1.08	0.929	0.922	0.948	0.951
1.09	0.936	0.923	0.953	0.953
1.1	0.938	0.934	0.956	0.953
1.11	0.934	0.936	0.954	0.954
1.12	0.944	0.938	0.953	0.954
1.13	0.943	0.944	0.952	0.956
1.14	0.942	0.952	0.954	0.958
1.15	0.951	0.949	0.962	0.959
1.16	0.95	0.953	0.95	0.958
1.17	0.96	0.955	0.95	0.958
1.18	0.953	0.961	0.948	0.961
1.19	0.965	0.961	0.946	0.964
1.2	0.965	0.964	0.957	0.964
1.21	0.975	0.964	0.958	0.966
1.22	0.978	0.968	0.965	0.969
1.23	0.974	0.977	0.964	0.971
1.24	0.966	0.973	0.966	0.97
1.25	0.972	0.978	0.961	0.972
1.26	0.967	0.976	0.965	0.97
1.27	0.975	0.974	0.971	0.975
1.28	0.977	0.983	0.968	0.976
1.29	0.98	0.976	0.973	0.975
1.3	0.98	0.981	0.972	0.979
1.31	0.977	0.978	0.975	0.978
1.32	0.977	0.968	0.972	0.977
1.33	0.971	0.972	0.976	0.977
1.34	0.977	0.985	0.973	0.98
1.35	0.976	0.976	0.978	0.98
